[ITEN1 Reference Specific Tension],[ITEN2 Reference Specific Tension],[ITEN1 Actual Specific Tension],[ITEN2 Actual Specific Tension],[ITEN3 Reference Specific Tension],[ITEN4 Reference Specific Tension],[ITEN3 Actual Specific Tension],[ITEN4 Actual Specific Tension],[Rolling Speed]
ITEN1 Reference Specific Tension,ITEN2 Reference Specific Tension,ITEN1 Actual Specific Tension,ITEN2 Actual Specific Tension,ITEN3 Reference Specific Tension,ITEN4 Reference Specific Tension,ITEN3 Actual Specific Tension,ITEN4 Actual Specific Tension,Rolling Speed
75.7831,97.6331,75.7831,97.6331,78.2265,90.2819,78.2265,90.2819,0
75.7831,97.6331,75.7831,97.6331,78.2265,90.3337,78.2265,90.3337,0
75.7831,97.6331,75.7831,97.6331,78.2091,90.3337,78.2091,90.3337,0
75.8313,97.6331,75.8313,97.6331,78.2091,90.3337,78.2091,90.3337,0
75.8313,97.7235,75.8313,97.7235,78.2091,90.3337,78.2091,90.3337,0
75.8313,97.7235,75.8313,97.7235,78.2091,90.2184,78.2091,90.2184,0
75.8313,97.7235,75.8313,97.7235,78.1514,90.2184,78.1514,90.2184,0
75.8313,97.7235,75.8313,97.7235,78.1514,90.2184,78.1514,90.2184,0
75.8899,97.8342,75.8899,97.8342,78.1514,90.2184,78.1514,90.2184,0
75.8899,97.8342,75.8899,97.8342,78.1514,90.1253,78.1514,90.1253,0
75.8899,97.8342,75.8899,97.8342,78.087,90.1253,78.087,90.1253,0
75.9417,97.8342,75.9417,97.8342,78.087,90.1253,78.087,90.1253,0
75.9417,97.9133,75.9417,97.9133,78.087,90.1253,78.087,90.1253,0
75.9417,97.9133,75.9417,97.9133,78.087,90.0714,78.087,90.0714,0
75.9417,97.9133,75.9417,97.9133,78.0797,90.0714,78.0797,90.0714,0
75.9892,97.9133,75.9892,97.9133,78.0797,90.0714,78.0797,90.0714,0
75.9892,97.9367,75.9892,97.9367,78.0797,90.0714,78.0797,90.0714,0
75.9892,97.9367,75.9892,97.9367,78.0797,90.0714,78.0797,90.0714,0
75.9892,97.9367,75.9892,97.9367,78.2132,90.0695,78.2132,90.0695,0
76.0274,97.9367,76.0274,97.9367,78.2132,90.0695,78.2132,90.0695,0
76.0274,97.9313,76.0274,97.9313,78.2132,90.0695,78.2132,90.0695,0
76.0274,97.9313,76.0274,97.9313,78.2132,89.9052,78.2132,89.9052,0
76.0274,97.9313,76.0274,97.9313,78.3366,89.9052,78.3366,89.9052,0
76.0861,97.9554,76.0861,97.9554,78.3366,89.9052,78.3366,89.9052,0
76.0861,97.9554,76.0861,97.9554,78.3366,89.9052,78.3366,89.9052,0
76.0861,97.9554,76.0861,97.9554,78.3366,89.8316,78.3366,89.8316,0
